Norwegian OSL (Oslo) to RIX (Riga) departing from 2018-10-01 to 2018-10-31
Departure, Duration, Arrival, Cheapest Price
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 112.45
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 51.35
, , ,
13:10  Oslo-Gardermoen 20:40  Oslo-Gardermoen ,  1h 30m 1h 30m, 15:40  Riga 23:10  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen 20:20  Oslo-Gardermoen ,  1h 30m 1h 30m, 13:50  Riga 22:50  Riga , 62.07 62.07
, , ,
11:20  Oslo-Gardermoen 20:20  Oslo-Gardermoen ,  1h 30m 1h 30m, 13:50  Riga 22:50  Riga , 91.01
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:40  Oslo-Gardermoen 20:30  Oslo-Gardermoen ,  1h 30m 1h 30m, 14:10  Riga 23:00  Riga , 51.35 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 51.35
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 101.73
, , ,
11:20  Oslo-Gardermoen 20:20  Oslo-Gardermoen ,  1h 30m 1h 30m, 13:50  Riga 22:50  Riga , 69.57 56.71
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 91.01
, , ,
11:20  Oslo-Gardermoen 18:20  Oslo-Gardermoen ,  1h 30m 1h 30m, 13:50  Riga 20:50  Riga , 62.07 56.71
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 101.73
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 101.73
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 51.35
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga ,
, , ,
13:10  Oslo-Gardermoen 20:40  Oslo-Gardermoen ,  1h 30m 1h 30m, 15:40  Riga 23:10  Riga , 51.35 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
13:10  Oslo-Gardermoen 20:40  Oslo-Gardermoen ,  1h 30m 1h 30m, 15:40  Riga 23:10  Riga , 37.42 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 91.01
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 37.42
, , ,
11:20  Oslo-Gardermoen ,  1h 30m, 13:50  Riga , 51.35
, , ,
